Number,Title,Year,Runtime,Genre,Rating,Budget,Gross US & Canada,Votes,Metascore
233.,The Longest Yard,(2005),113 min,Comedy -  Crime -  Sport,6.4,"$82,000,000","158,119,460",186076,48
234.,Black Mass,(2015),123 min,Biography -  Crime -  Drama,6.9,"$53,000,000","62,575,678",185285,68
235.,The Bank Job,(2008),111 min,Crime -  Drama -  Thriller,7.2,"$20,000,000","30,060,660",184935,69
236.,The Invisible Guest,(2016),106 min,Crime -  Drama -  Mystery,8.0,"€4,000,000",,182314,
237.,Inferno,(I) (2016),121 min,Action -  Adventure -  Crime,6.2,"$75,000,000","34,343,574",181792,42
238.,Lethal Weapon 2,(1989),114 min,Action -  Crime -  Thriller,7.2,"$28,000,000","147,253,986",181622,70
239.,Cool Hand Luke,(1967),127 min,Crime -  Drama,8.1,"$3,200,000","16,217,773",181254,92
240.,La haine,(1995),98 min,Crime -  Drama,8.1,"€2,590,000","309,811",180737,
241.,Dial M for Murder,(1954),105 min,Crime -  Thriller,8.2,"$1,400,000","12,562",180175,75
242.,In the Name of the Father,(1993),133 min,Biography -  Crime -  Drama,8.1,"$13,000,000","25,010,410",179481,84
243.,Molly's Game,(2017),140 min,Biography -  Crime -  Drama,7.4,"$30,000,000","28,780,744",178791,71
244.,Radhe,(2021),109 min,Action -  Crime -  Thriller,1.9,,,178653,
245.,Horrible Bosses 2,(2014),108 min,Comedy -  Crime,6.3,"$42,000,000","54,445,357",178114,40
246.,Army of the Dead,(2021),148 min,Action -  Crime -  Drama,5.7,"$70,000,000","1,000,000",177862,57
247.,The Heat,(I) (2013),117 min,Action -  Comedy -  Crime,6.6,"$43,000,000","159,582,188",176418,60
248.,The Bone Collector,(1999),118 min,Crime -  Drama -  Mystery,6.7,"$73,000,000","66,518,655",176132,45
249.,The Naked Gun: From the Files of Police Squad!,(1988),85 min,Comedy -  Crime,7.6,"$12,000,000","78,756,177",175439,76
250.,RED 2,(2013),116 min,Action -  Comedy -  Crime,6.6,"$84,000,000","53,262,560",175330,47
251.,Rush Hour 3,(2007),91 min,Action -  Comedy -  Crime,6.2,"$140,000,000","140,125,968",174556,44
252.,Hitman,(I) (2007),100 min,Action -  Crime -  Thriller,6.2,"$24,000,000","39,687,694",173622,35
253.,Lethal Weapon 3,(1992),118 min,Action -  Crime -  Thriller,6.7,"$35,000,000","144,731,527",172912,40
254.,Rashomon,(1950),88 min,Crime -  Drama -  Mystery,8.2,"$250,000","96,568",172326,98
